Title,Date,URL,Compensation,Employment_type,Images,Description
CAD Drafter/CAD Draftsperson,2020-09-22 20:58,https://newyork.craigslist.org/que/egr/d/flushing-cad-drafter-cad-draftsperson/7201233656.html,DOE,full-time,,"
        ,
Job Title: CAD Drafter/CAD Draftsperson,
Job Type: Full-time,
Schedule: Monday to Friday 8 hour shift,
Location: Flushing, NY,
Work Remotely:No,
Pay & Benefits:  DOE,
Language:,
* English (Required),
* Mandarin (Preferred),
,
Architectural Senior Draftsman needed to be part of a New York-based rapidly growing real estate developer. Attention to detail is very important in this position as you’ll be the lead checker of final plans. These detailed drawings incorporate the input of Architectural Designers, Interior Designers, MEP Engineers and Project Management team.,
,
DUTIES & RESPONSIBILITIES:,
,
* Field measure project and prepare existing condition plan(s).,
* Execute measurements on site as necessary to update drawings & provide accurate dimensions/graphics.,
* Check existing drawings and documents and create full construction drawings and documents.,
* Develop drawings based on 3D models, images, renderings, or any necessary sketches or hand drawings for each area/room of a designated project.,
* Present CAD drawings, elevations and sections as necessary.,
* Prepare schematic design submittal under direction from sales/design.,
* Prepare Construction/Permit drawings.,
* Assist Sales and Design with material sections.,
* All other duties as assigned.,
* Coordinate with engineering and building officials.,
* Minor beam calculations.,
* CAD Drafting.,
,
,
REQUIREMENTS: ,
,
* Bachelor’s Degree or equivalent in related field preferred.,
* Experienced in Architectural design and construction terminology, detailing, and construction principles.,
* Minimum 2 years architectural/drafting degree,
* Construction experience a plus.,
* AutoCAD and REVIT high proficiency required, Sketchup and 3ds Max a plus,
* Adobe Acrobat Pro, Excel, Word,
* Good organizational skills, with knowledge of construction methods and terminology.,
* Ability to read and analyze construction documents and blueprints, ability to read a scale.,
* Computer skills; Word, Excel, Outlook, and Sketch-Up Pro experience.,
* Strong verbal & written communication skills.,
* Ability to establish priorities and meet deadlines. Work in a fast-paced environment with the ability to juggle competing tasks & demands.,
* Must have a high level of interpersonal skills, professional appearance, able to interact and communicate positively with team members, trade partners, suppliers at all levels.,
* Team player and work well in a small business environment,
* Creative and positive,
,
,
-------,
,
,
Please reply and submit your resume & portfolio. We will review and reach out if you are qualified for interview. Thank you.,
    "
"CAD, FACADE, LL11, STRUCTURAL",2020-09-23 17:34,https://newyork.craigslist.org/mnh/egr/d/new-york-cad-facade-ll11-structural/7201748392.html,compensation will depends on experience and qualifications,full-time,,"
        ,
We are currently looking for a project manager with an engineering or architectural degree with solid experience with exterior facade inspections and restoration projects. Must have valid suspended scaffold training and 16 hour OSHA certification.,
,
Years of experience with LL11/FACADE– ,
Years of AutoCAD experience –  ,
Years of experience with structural design –  ,
Years of experience with MEP design –  ,
Scaffold certification –  ,
Salary requirements –  ,
Email address –  ,
Phone number –    "
Bilingual Construction Project Manager,2020-09-23 00:19,https://newyork.craigslist.org/que/egr/d/flushing-bilingual-construction-project/7201298120.html,40k+ based on experience. Please provide salary requirement along with resume.,full-time,,"
        ,
Queens-based construction company specializing in excavation, SOE, foundation & reinforced concrete looking for a full time project manager,
,
Experienced preferred but willing to train the right candidate,
,
Ideal candidate should have the following qualifications: ,
- Good social skills,
- Quick learner,
- Bilingual in Spanish and/or Chinese,
- Experience in construction and/or reading construction plans,
- Valid driver's license,
,
Salary is commensurate with experience    "
Junior Architect,2020-09-23 08:36,https://newyork.craigslist.org/wch/egr/d/mamaroneck-junior-architect/7201376839.html,Salary commensurate with experience,full-time,,"
        ,
Keller/Eaton Architects, PC is an award winning, high-end residential architectural and interior design firm in Mamaroneck, NY. We are seeking a talented and motivated individual to join our team to help create amazing spaces. Position is full time, with a combination of hours spent in office and remotely. We offer competitive salary and benefits. ,
,
Qualifications: ,
-Bachelor of Architecture from an accredited institution.,
-1-2 years work experience in an architectural firm. Experience in residential architecture a plus.,
-Ability to work independently and collaboratively in a team environment.,
-Willingness to multi-task, work on many different projects and meet project deadlines.,
-Clear and concise written and verbal communication skills.,
-Strong conceptual design skills. ,
-Efficient drafting skills with particular attention to detail and line weight.,
-Positive attitude and driven to learn/succeed.,
-Proficiency in Autocad, Photoshop, 3-D modeling a plus.,
,
Salary commensurate with experience. Must be authorized to work in the United States. For examples of our work or to learn more about the firm, please visit www.rkdea.com.,
Please email your personalized cover letter, resume, work samples and salary requirements.,
No phone calls please.,
    "
experienced architect/drafter,2020-09-24 17:18,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/7202354258.html,BASED ON EXPERIENCE,full-time,,"
        ,
Architectural Drafter with at least 3+ years of experience in preparing architectural drawings and construction documents to file with the NYC Department of Buildings and Dob Now ,
,
Candidates should have basic knowledge in NYC Zoning and Building code. knowledge is a must.,
,
The position will include ,
,
,
Preparing Alteration type 1 and 2  . New Building drawing sets for filling with NYC DOB Zoning Analysis and diagrams,preparing floor plans,sections and elevations, Energy analysis ( Tabular and COMcheck),
,
Update submitted drawing sets according to examiner's objections.,
,
,
Please send your resume ,
,
There is great potential for the right candidate!    "
Junior / Intermediate Architect,2020-09-24 17:52,https://newyork.craigslist.org/brk/egr/d/brooklyn-junior-intermediate-architect/7202375164.html,commensurate with experience,full-time,,"
        ,
nC2 architecture is a Brooklyn-based architectural firm looking for an intermediate-level architect to join our team. The ideal candidate is a self-starter with well-rounded experience, outstanding design capability and good technical knowledge.  ,
Candidates must be able to work independently on drawings at all phases of design, including the ability to create construction document sets and develop construction details. Candidates will also be expected to interact with clients, visit jobsites, coordinate work with engineering consultants and interact with contractors.,
,
Prerequisites:,
- Degree in architecture.,
- 3-5 years of well-rounded experience in architectural practice.,
- Residence in the New York City area and permission to work legally in the US. ,
,
Responsibilities:,
- Design and production work on all project phases from concept design through closeout. ,
- Preparation of drawings for client meetings, DOB submissions and construction documents. ,
- Correspondence and meetings with clients.,
- Creation of digital and physical models.,
- Coordination with engineering consultants.,
- Construction administration including site visits, shop drawing review and correspondence with contractors.,
,
Knowledge of Vectorworks is a plus. ,
 ,
Candidates who are applying for this position should email the following to careers@nc2architecture.com:,
1. A concise resume,
2. Two (2) 8½"" x 11"" pages with images representing their best work ,
    "
Field Mechanical Engineer,2020-09-25 15:45,https://newyork.craigslist.org/brk/egr/d/brooklyn-field-mechanical-engineer/7202914042.html,Competitive salary with relevant experience,full-time,,"
        ,
,
Real Estate Development Company in Williamsburg, Brooklyn seeks a Field Mechanical Engineer. Engineering education required as well as the experience in checking the various construction sites in its each stage as it relates to plumbing  & electrical work, HVAC work, all insulation, waterproofing and all energy related compliance codes. Be very educated with as build and means and methods to explain the contractor if they do not install per plan.,
What we offer: ,
Competitive salary with relevant experience ,
Benefits Package that includes Medical and Dental Insurance.,
Schedule from 9 am to 5 pm ,
Collaborative and supportive work environment. ,
,
Please apply with your resume only with experience described above.,
    "
Millwork Drafting and Engineering,2020-09-27 16:44,https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-drafting-and/7204091204.html,commensurate with experience,full-time,,"
        ,
Custom cabinetry and millwork shop looking for millwork drafter/engineer with minimum of 2 years experience in the cabinetry and millwork field. This role will also include some office and project management duties. Our focus is high end residential cabinetry and millwork. ,
,
Primary responsibilites: ,
•	Assist with field measuring,
•	Create submittal drawings and documents,
•	Create shop drawings,
•	Prepare programs for CNC,
•	Interact with shop for engineering and troubleshooting input,
•	Continue to refine CAD and engineering standards, libraries, and workflows,
,
Additional responsibilities:,
•	Coordinate logistics for deliveries to site or finisher,
•	Prepare and place hardware orders,
•	Communicate with clients in a professional manner,
•	Assist with estimating as needed,
,
Qualifications:,
•	AutoCAD experience required,
•	Experience with woodCADCAM (now called iX) preferred. ,
•	Experience with Microvellum, Cabinetvision, or similar,
•	Experience with Cutrite, or similar optimizers a plus,
•	Knowledge of wood-based materials and processes.,
,
Please provide a resume and references in PDF format.,
    "
Light-Gauge Structural Detailer,2020-09-28 10:06,https://newyork.craigslist.org/mnh/egr/d/new-york-light-gauge-structural-detailer/7204400961.html,D.O.E.,full-time,,"
        ,
WES Consultants, LLC is actively seeking a Light-Gauge Structural Detailer to join our team in New York, NY! We are looking for a reliable and experienced Light-Gauge Structural Detailer familiar with Vertex BD that is able to prepare detailed plans, elevations, and other documents, as needed. Knowledge in steel detailing is a plus.,
,
The ideal candidate is organized, pays attention to detail, and has a strong sense of ownership over both the process and the results.,
,
Job Description:,
,
Detailers are responsible for preparing models in Vertex BD, wall panel shop drawings, as well as erection plans and panels elevations details for approval and fabrication for light-gauge framing.  The candidate will be asked to demonstrate AutoCAD, structural, and architectural drawings reading, & reasoning skills. ,
,
Experience:,
,
•	Autodesk, Auto-CAD Software (Required),
•	Vertex BD Software (Required),
•	Microsoft Outlook, Word, Excel, and Bluebeam (Required),
•	SDS-2 Software- Knowledge is a plus.,
•	Miscellaneous metals.,
    "
Class 2 Project Manager / Code Consultant,2020-09-29 09:51,https://newyork.craigslist.org/mnh/egr/d/new-york-class-2-project-manager-code/7205008012.html,"Compensation: Competitive Compensation- commensurate with experience and includes health, dental and vision options available. Paid vacation, personal, and sick days as well.",part-time,,"
        ,
A Manhattan based full-service expediting, building compliance and consulting firm, is seeking a part-time (temporarily part-time due to COVID-19, will eventually become full-time) , experienced Senior Project Manager / Code Consultant.,
,
Required Credentials for Position:,
,
-Active NYC DOB Code and Zoning Representative Class 2 License & FDNY File Rep ID,
-Minimum five to ten (5-10) years of relevant experience and working with agencies such as DOB, FDNY, ECB, DEP...etc.,
-Ability to attend appointments with Department of Buildings Plan Examiners to review and answer objections and report back to the superiors,
-Ability to attend Environmental Control Board Hearings and aid in dismissing open violations (A PLUS),
-Responsible for following up on all submissions and report Department of Buildings findings to the office,
-Review architectural and engineering plans for compliance to applicable building codes and zoning regulations.,
-Distribute the forms to the architect, engineer, building owner, contractor, etc., in order to obtain the required signatures and seals.,
-Coordinate the submission of the architectural and or engineering plans to DOB.,
-Correspondence and communication with the architect, engineer, building owner, contractor, etc. to resolve DOB objections and obtain approval and work permits.,
-Serve as a liaison between the field personnel and the architect, engineer, building owner, contractor, etc. to resolve DOB objections and obtain approval and work permits and sign-offs.,
-Experience with the preparation of DOB forms, permits and violation documentation,
-Experience with Development Hub,
-Able to use Microsoft Office Suite (OUTLOOK, WORD, EXCEL),
-Responsible for following up on all projects,
-Professional attitude with great communication (written and verbal) and organizational skills a must,
-Ability to the follow office protocols and procedures a must,
-Team Player with strong Project Management skills,
,
Education Requirements:,
College Degree in Related Field (preferred),
,
COVID-19 considerations:,
Due to COVID-19 we are social distancing in the office and wearing masks upon entry and when mobile around the office. All work areas and common spaces are disinfected at the end of each day. We are keeping any client meetings virtual as well.    "
Chief Architect Designer,2020-09-29 10:29,https://newyork.craigslist.org/que/egr/d/whitestone-chief-architect-designer/7205031271.html,$22+/hour depending on experience,part-time,,"
        ,
Looking for person with at least 3 years experience with Chief Architect Home Design Software, specifically with experience in kitchen layouts. ,
,
Can work remotely. ,
,
Hours are flexible but must be able to meet deadlines. ,
,
    "
**Estimator-Concrete/foundation/Excavation/Drilling/Super Structure**,2020-09-29 12:57,https://newyork.craigslist.org/wch/egr/d/harrison-estimator-concrete-foundation/7205139794.html,Depends on Experience,full-time,,"
        ,
Seeking a full time, experienced estimator to bid excavation, SOE (drilling, lagging, etc) foundation and superstructure concrete work. The ideal candidate MUST have a minimum of 7+ Years experience bidding heavy ground up construction for subcontractors. Please do NOT apply if your experience is with interior or rehab work. ,
,
Estimator will also be responsible for ensuring awarded work is completed in accordance with the proposal, following up on proposals sent and seeking new clients for the firm. ,
,
 Must have knowledge of NYC D.O.B. codes and procedures.,
,
REQUIREMENTS / QUALIFICATIONS,
- 7+ years experience in heavy construction, excavation, SOE (drilling, lagging etc), foundation and superstructure concrete work. Please do not submit your resume if your experience is in interior or rehab work. ,
- Must have experience reading geotechnical reports, analytics, project specs, preparing and following up on RFI’s and addendums.  ,
- Must have ability to use project management software such as Procure, Dropbox etc. ,
- Must be able to supervise and assist the submittal process. ,
- Must have strong interpersonal skills and be a team player. ,
,
- Must be able to manage schedule and independently meet deadlines. ,
,
Serious candidates with the experience required only.,
    "
DRYWALL & ACOUSTICAL SR. ESTIMATOR  / ESTIMATING  MANAGER,2020-09-28 20:00,https://newyork.craigslist.org/mnh/egr/d/new-york-drywall-acoustical-sr/7204810216.html,based on experience with tremendous potential including equity,full-time,,"
        ,
Seeking a Fully Motivated Estimating Professional to Manage our Estimating /Sales Team at our New York City Office with unlimited potential to become VP of Estimating/Sales,
,
Seeking a Fully Motivated Estimating Professional to Manage our Estimating /Sales Team at our New York City Office with unlimited potential to become VP of Estimating/Sales.,
 ,
 ,
** Must be proficient in On Center Software (On Screen Take-Off and Quick Bid) **,
•	Signing Bonus,
•	Fully Paid Medical Benefits,
•	401K/ Profit Sharing Plan,
 ,
Conveniently located two blocks from Penn Station for easy commuting.,
 ,
*** ALL INQUIRIES WILL BE KEPT CONFIDENTIAL !!! ***,
 ,
We are an Equal Opportunity Employer with a highly motivated professional staff and take pride in striving to achieve employee growth and satisfaction through continuous training programs and job safety management.,
 ,
Principals only. Recruiters, please don't contact this job poster.,
do NOT contact us with unsolicited services or offers,
Job Type: Full-time,
 ,
email resumes to: hr@ronscoinc.com    "
Seeking Full-Time Structural Engineer,2020-09-30 11:46,https://newyork.craigslist.org/brk/egr/d/brooklyn-seeking-full-time-structural/7205674313.html,Compensation based on experience,full-time,,"
        ,
EOC‐NY is a multifaceted, full‐service engineering and consulting firm providing structural,,
architectural, and geotechnical services for an array of restoration and new construction,
applications. We are always looking for diverse, passionate, and talented individuals. We believe,
that an open and transparent office environment facilitatesingenuity and progress. New ideas are,
always welcomed.,
,
At present, we are seeking a full‐time structural engineer to take on a variety of tasks including,
developing calculation reports, drawings & specifications, as well as performing field inspections.,
The position offers benefits, health insurance, bonus incentives and overtime for working over 40,
hrs. a week.,
,
Qualifications:,
 MS in civil with an emphasis in structural, and/or geotech,
 Strong command of fundamental structural engineering principles,
 Work experience related to historic restoration, building facades, and temporary structures,
 Experience with Façade Inspection Safety Program 9 (FISP) of NYC,
 Well organized and self‐disciplined with good independent problem‐solving skills,
 Excellent written and verbal communication skills,
 Knowledge of current design codes and standards  ,
 Ability to work successfully in a collaborative team‐oriented environment,
 Proficient in MS office and standard drafting software (Revit/AutoCAD),
 Finite element analysis experience is required,
 Ability to prepare structural drawing sets for schematic, design development and,
construction phases of projects,
 A minimum of 4 years of relevant work experience, w/ FE certification, is required,
 A PE license is preferable,
 Ability to take advice and constructive criticism, as well as to offer it  ,
,
Hours & Location:,
40 hrs. per week @ 128 32nd Street, Suite 102, Brooklyn, NY 11232,
,
Compensation:  ,
Salary based on experience  ,
,
To Apply:  ,
Email David Merabyan a cover letter and resume    "
Landscape architect / horticulturist,2020-10-01 08:16,https://newyork.craigslist.org/wch/egr/d/astoria-landscape-architect/7206146881.html,20-30 per hr depending on backghrnd,contract,"https://images.craigslist.org/00d0d_3kVxi0KvMeB_0CI0n9_600x450.jpg,https://images.craigslist.org/00f0f_gLEP6porsUv_0CI0t2_600x450.jpg,https://images.craigslist.org/00p0p_e2OdoJ4pQ6T_0t20CI_600x450.jpg","
        ,
**Only emails with portfolio and within the USA/NorthEast will be answered—,
,
Landscape architect needed to design/plan meadow development on a bucolic, magical 4-acre land in Hudson Valley. Must be versed in native northern species, naturalistic design, meadow prepping and planting. This is an opportunity to create an award winning or career-launching project (land is a gorgeous, clean and vacant, plenty of space to play with),
**Must have a CV and online portfolio made available when responding to this email. ,
You must be in NY, CT or PA - USA only.,
,
Tell us about your background, who or what inspires you in your field or in landscaping, and how your background would fit this assignment. The commission may involve site visits and/or remote consultation. Limited budget.    "
ARCHITECTURAL DRAFTSPERSON/ INTERN,2020-10-01 11:36,https://newyork.craigslist.org/mnh/egr/d/annandale-on-hudson-architectural/7206255548.html,based on experience,full-time,,"
        ,
Red Hook (Dutchess County) architectural firm seeking an associate to join our team either remotely or in-person. This is a full-time position with much potential for future growth within our company. The ideal candidate has project management experience, but entry level applicants will also be considered.,
,
Must be proficient in autocad. Must be creative, highly motivated and attentive to details. Must be familiar with production of architectural drawings (schematic through construction documents). Please send resume and samples of work. Compensation will be based on level of experience. ,
,
kdousharm.com    "
Chief Engineer,2020-10-01 20:08,https://newyork.craigslist.org/lgi/egr/d/farmingville-chief-engineer/7206585633.html,DOE,,,"
        ,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,PI124313300,    "
Drafting/Estimating Internship,2020-10-02 11:57,https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/7206855253.html,Unpaid Internship,part-time,,"
        ,
Our company is offering an internship for recent graduates/college students with Architectural, Construction Management or Engineering background and interested in real world experience in the Manufacturing Industry.,
,
We are a top fabricator in the Northeast for custom metal facade and roofing components. Our Design & Estimating Department are looking for an individual who is interested in the business, design and developmental aspects of architecture. ,
,
The internship program provides a unique opportunity to gain experience in:,
-	Cost Estimation,
-	Specs & CD,
-	Marketing Strategy and PR,
-	Fabrication,
-	Installation and Field Relationship,
,
We are looking for interns who are:,
-	Self-motivated and able to receive/ use constructive criticism,
-	Communicative; willing to ask questions, share their ideas ,
-	Team Players willing to work with others,
-	Punctual, reliable and responsible,
-	Interested in architectural methods/materials in Roofing/Facade,
,
,
Candidates must have knowledge of Microsoft Office, AutoCad, experience in Rhino is a plus! ,
Full time positions are available for best candidates.,
,
This is not a paid internship; however a lunch and 75% travel stipend will be provided.,
,
Please send a resume and work samples to Craigslist email listed.    "
Estimator,2020-10-02 16:39,https://newyork.craigslist.org/wch/egr/d/elmsford-estimator/7207062417.html,To Be Determine/Based on Experience,full-time,,"
        ,
Estimator: At least 5 years experience estimating commercial construction / build outs - skills should include scope analysis, cash flow analysis, buy out log, take offs and ability to read drawings thoroughly.,
• Must be flexible and able to work in loud busy environments.,
• Must be positive person with upbeat attitude at all times.,
• Must be punctual, dependable and efficient.,
• Must come from a place of yes.,
• Must be a problem solver and able to take initiative.,
• Strong organizational skills, detail oriented, ability to multi-task & remain effective in high paced environment.,
• Must have excellent English communication skills, both orally and written.,
• Must be US resident.,
Salary will be discussed at interview.,
,
    "
Interior Designer - NYC,2020-10-03 12:05,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer-nyc/7207453466.html,Commensurate with experience,full-time,,"
        ,
JOB DESCRIPTION:,
Award winning and notable NYC-based luxury residential interior design firm is seeking a dynamic residential interior designer for a full time position. The ideal candidate will have 4-6 years of design firm experience, exceptional organizational and problem solving skills, is meticulous with details, and enjoys collaborating in a team environment. They will also work independently with confidence, have a passion for design excellence, great leadership qualities, and excellent communication skills. Candidates will work directly with the Principal Designer and the team to manage and lead projects.  ,
,
ABOUT THE FIRM:,
The firm’s interiors are known for their warmth, artistic sensibility, impeccable attention to detail, and unique spirit. The aesthetic embraces both art and design; each space is personalized and enlivened with exciting mixes of contemporary and vintage pieces, along with very special site-specific commissions. Our closely knit team is a collaborative group, drawing on each other's strengths,  collectively designing innovative and inspirational solutions and incredible designs. The studio culture is one of camaraderie, teamwork, and the feeling of pride for the excellent work we create.    ,
,
RESPONSIBILITIES:,
As a full time Junior Designer, you will be a part of a fun and dedicated team creating interior design concepts, presentations for clients, and technical documentation for manufacturers and artisans. This includes:,
   - Drafting floor plans, RCPs, and elevations in AutoCAD from site measures and for presentations,
   - Site measuring and templating,
   - Sourcing and specifying vintage and contemporary furniture, furnishings, and lighting,
   - Creating presentations, including detailed tear sheets,
   - Selecting fabrics and finishes with an excellent sense of color,
   - Generating scopes of work, creating and managing FF&E schedules and budgets,
   - Generating technical documentation for manufacturers and artisans, reviewing shop drawings and sketches,
   - Managing and following up on progress of work throughout all phases of design, fabrication, and construction,
   - Meeting with contractors during construction, ensuring all work is being executed per our drawings and specifications,
   - Implementing, processing and tracking all furniture and furnishings orders,
   - Scheduling all trades and vendors for installations, and coordinating all aspects of the install,
   - Providing strong organizational and relationship management skills throughout each facet of the design process,
   - We expect a deep knowledge of the design process and available resources, including custom furniture, construction, specifications, colors and materials,
,
REQUIREMENTS:,
   - Bachelors or Masters Degree from an accredited Interior Design Certified Program,
   - 4-6 years professional working experience,
   - Expertise in AutoCAD, Adobe Photoshop, Microsoft Word, PowerPoint, and Excel necessary ,
   - Familiarity with 3D Software would be a benefit,
   - Strong organizational skills and attention to detail, with excellent follow through,
   - Experience working with contractors, particularly on job sites, efficiently solving challenges on the spot,
   - Proficiency at sourcing items online and in showrooms,
   - Capable of working at a fast pace on multiple projects within a team environment,
   - Excellent written and oral communication skills,
   - Must currently live in NYC,
,
Please submit the following when applying: ,
Cover letter, resume, portfolio    "
AutoCAD Drafter - Architectural/Structural,2020-10-03 15:30,https://newyork.craigslist.org/que/egr/d/rego-park-autocad-drafter-architectural/7207603912.html,The salary is based on level of experience.,full-time,,"
        ,
Architecture, and Engineering consulting firm is seeking a AutoCAD drafter/designer. ,
,
The successful candidate will demonstrate proficiency in AutoCAD software. In addition, the candidate should demonstrate the following:,
,
1. 4+ years in AutoCAD experience,
2. Must have working experience in engineering or architectural drafting,
3. Must be able to generate plans and sections,
4. No restrictions to work in the United States,
5. Proficiency in English,
,
Duties and Responsibilities:,
,
1. Create detailed, accurate construction documents for architectural or structural engineering projects (commercial and residential),
2. Work with principal designer to produce contract drawings under tight deadlines.,
,
Full-time, Part-time, Remote work are all welcome to apply.    "
Construction Project Manager,2020-10-03 15:35,https://newyork.craigslist.org/que/egr/d/woodside-construction-project-manager/7207607845.html,The salary is based on level of experience.,full-time,,"
        ,
We are currently looking for a full time construction project manager with minimum 3 years experiences.,
,
1.	Familiar with ground up new construction projects with a good working knowledge of all trades. ,
2.	Experience in reading and understanding design drawings.,
3.	Able to professionally communicate on a daily basis with architects, engineers, sub-contractors of various trades, and all in house crews involved on a project.,
4.	Time keeping and daily log reports,
5.	Create punch list and maintain job schedule,
6.	Oversee safety program and administer toolbox talks,
7.	Valid driver's license,
,
This is an exciting opportunity for the right candidate. Forward your resume with a listing of List all managed projects and certifications, salary requirements and contact info.    "
Special Inspector (TR1/TR8)-Full Time or Part Time,2020-10-03 15:27,https://newyork.craigslist.org/que/egr/d/woodside-special-inspector-tr1-tr8-full/7207602240.html,The salary is based on level of experience.,full-time,,"
        ,
Immediate opening for special inspector to perform TR1 and TR8 inspection in NYC. ,
Min. 5 years of inspection experience. ICC or ACI certified.,
Both full-time or part-time are welcome.    "
HVAC DRAFTER,2020-10-05 08:25,https://newyork.craigslist.org/que/egr/d/east-elmhurst-hvac-drafter/7208412141.html,great salary and benefit,full-time,,"
        ,
SKETCHER,
HVAC Mechanical Firm seeking a skilled mechanical sketcher/draftsman who can draft sheet metal shop drawing, piping including hydronic piping and refrigeration, risers, control wiring diagram, for commercial NYC Projects. Create and/or modify existing engineering designs and comments, as built drawings. ,
Ensure drawings and designs meet project deadlines,
-Accurate and complete drawings,
-Meet project schedule,
Qualifications:,
-AutoCAD 2019/Mechanical design experience,
-Experience in mechanical design either in design or installation/construction.,
 ,
Please send your resume to schedule an interview,
    "
Landscape Architect / Designer and Sales Professional,2020-10-05 11:21,https://newyork.craigslist.org/fct/egr/d/new-canaan-landscape-architect-designer/7208515458.html,Based on experience and skill. Excellent benefit program,full-time,,"
        ,
Landscape Architect / Designer and Sales Professional to join our team. We design and build creative, integrated landscape plans for high-end residential clients.,
,
Candidates should have a proven record in residential landscape design and sales with the ability to present and communicate to a sophisticated client base. Autocad or equivalent software abilities a plus. Designing and selling landscapes with style for the high-end residential market key!,
Applicants with a landscape design, landscape architecture background or exterior design are appropriate for this position.,
,
You'll find us in New Canaan in an attractive work environment with industry leading salary and benefits--,
including: 401K Plan -Profit Sharing - Pension plus.,
,
Candidates should forward resumes and letter of interest.,
The Elise Design Group and Elise Landscapes & Nursery is an established award winning Landscape Design and Build firm serving the greater Fairfield and Westchester County areas. Our company provides high quality, innovative landscape design, construction and maintenance services as well as retailing landscape plantings, unique garden elements and furnishings. Established 1983.,
,
Position Requirements:,
,
Minimum of 5 years, high-end residential landscape design and/or sales experience,
Degree in Landscape Design/Architecture/interior design preferred,
The ability to present and communicate design concepts clearly to a sophisticated client base.,
Proficiency with landscape design software and related office software,
General knowledge of permitting and zoning processes,
Desire to grow professionally,
,
Please submit resume by email. Call us at 203-966-3200.,
    "
Associate Field Service Technician - Second Line (ATM),2020-10-08 11:21,https://newyork.craigslist.org/mnh/egr/d/new-york-associate-field-service/7210329268.html,"$40,000+ Depending on experiences",full-time,,"
        ,
Expect more. Connect more. Be more at Diebold Nixdorf.  Our teams automate, digitize, and transform the way more than 75 million people around the globe bank and shop in this hyper-connected, consumer-centric world. Join us in connecting people to commerce in this vital, rewarding role.,
 ,
Position Overview,
 ,
As an ATM Service Technician (Second Line), you will troubleshoot, report, and perform all necessary service on ATM equipment for our clients.  You will serve as the primary customer contact and be responsible for providing great customer service and fostering good working relationships.,
 ,
Work hours:  Nights and weekends - 2:30 pm - 11:00 pm,
 ,
You are responsible for,
•	Contacting customer with the estimated time of arrival,
•	Escalating problems and reassigning calls when appropriate,
•	Accurately reporting service data,
•	Participating as a member of the Technician Team,
•	Completing preventative maintenance inspections,
•	Implementing all field change orders,
•	Organizing and updating technical documentation,
•	Maintaining effective communication with Business Team and team members,
•	Developing working knowledge of all operating standards, practices, and procedures,
•	Providing customer contact for all post-installation problems,
 ,
Qualifications,
•	1 - 2 + years of technical service experience,
•	Valid driver’s license,
•	High school degree/GED or equivalent related experience,
•	Computer literate,
•	Ability to lift and move heavy loads, stand most of the day, climb, bend and stoop while working on equipment,
•	Acceptance of exposure to the outside elements,
•	Exceptional customer service skills are needed,
•	Ability to organize and inventory truck stock parts and tools,
•	Sense of urgency, organizational skills, professional presence and work in team environment,
 ,
Preferred Qualifications,
•	Technical/Vocational School preferred,
,
    "
Assist. Project Manager/Estimator,2020-10-08 14:19,https://newyork.craigslist.org/que/egr/d/richmond-hill-assist-project-manager/7210460372.html,Salary to commensurate with experience.,full-time,,"
        ,
Assistant Project Manager and Estimator support.,
,
Qualifications:,
,
-Construction management experience a must.,
-Broad knowledge and experience with schedules, project costs, and budgets.,
-Ability to read blueprints.,
-Ability to manage inspection staff and construction trades to meet project schedule.,
-Strong computer skills, including knowledge of MS Office, is a must.,
-Strong verbal and written communication skills.,
,
Responsibilities include, but are not limited to:,
,
-Maintaining excellent relationships with clients, building occupants, Architects/Engineers, and Contractors.,
-Support Project Manager with the day-to-day project management operations of the assigned jobs. Ensures the quality and high standards of contract performance and compliance in all aspects of assigned projects.,
-Assist in the process of investigation and resolution of design and construction issues.,
-Review design documents, change orders, punch lists, and contracts.,
-Efficient change order management and cost control.,
-Prepare and maintain project records including daily reports.,
-Assist in the preparation of work to be estimated by gathering proposals, blueprints, specifications, and related documents. Identifies labor, material, and time requirements by studying proposals, blueprints, specifications, and related documents. Computes costs by analyzing labor, material, and time requirements.,
    "
Licensed Structural Engineer PE (NY),2020-10-08 16:08,https://newyork.craigslist.org/mnh/egr/d/new-york-licensed-structural-engineer/7210534837.html,125k to 200k Based on Experience,full-time,,"
        ,
We are currently seeking a licensed New York State  Structural Engineer (P.E.) to wok on temporary structures. Who is self-motivated and ready to contribute to the future success.    "
